VLASS1.1.T01t04.J014718-363000, 2018-02-05 00:19:21, 2018-02-05 00:50:53, 0:08:10
VLASS1.1.T01t04.J014731-373000, 2018-02-04 23:50:19, 2018-02-05 00:29:44, 0:09:48
VLASS1.1.T01t04.J014745-383000, 2018-02-04 23:20:15, 2018-02-05 00:01:33, 0:10:36
VLASS1.1.T01t04.J014800-393000, 2018-02-04 22:59:28, 2018-02-04 23:33:07, 0:08:57
VLASS1.1.T01t04.J015214-363000, 2018-02-05 00:18:50, 2018-02-05 00:51:25, 0:08:09
VLASS1.1.T01t04.J015232-373000, 2018-02-04 23:49:49, 2018-02-05 00:30:16, 0:09:46
VLASS1.1.T01t04.J015250-383000, 2018-02-04 23:20:46, 2018-02-05 00:01:02, 0:10:37
VLASS1.1.T01t04.J015309-393000, 2018-02-04 22:59:58, 2018-02-04 23:33:38, 0:08:57
VLASS1.1.T01t04.J015711-363000, 2018-02-05 00:18:26, 2018-02-05 00:51:56, 0:07:03
VLASS1.1.T01t04.J015731-373000, 2018-02-04 23:49:27, 2018-02-05 00:30:47, 0:07:56
VLASS1.1.T01t04.J015741-383000, 2018-02-04 23:21:15, 2018-02-05 00:00:42, 0:08:24
VLASS1.1.T01t04.J015752-393000, 2018-02-04 23:00:27, 2018-02-04 23:34:07, 0:06:52
VLASS1.1.T01t04.J015949-363000, 2018-02-05 00:25:01, 2018-02-05 00:52:20, 0:02:32
VLASS1.1.T01t09.J040228-363000, 2018-02-08 01:00:28, 2018-02-08 01:24:32, 0:04:26
VLASS1.1.T01t09.J040230-373000, 2018-02-08 01:23:42, 2018-02-08 01:58:53, 0:08:01
VLASS1.1.T01t09.J040232-383000, 2018-02-08 01:48:19, 2018-02-08 02:31:01, 0:08:42
VLASS1.1.T01t09.J040234-393000, 2018-02-08 02:18:10, 2018-02-08 02:50:50, 0:07:21
VLASS1.1.T01t09.J040724-363000, 2018-02-08 01:00:58, 2018-02-08 01:25:01, 0:04:46
VLASS1.1.T01t09.J040730-373000, 2018-02-08 01:23:11, 2018-02-08 01:59:15, 0:09:48
VLASS1.1.T01t09.J040736-383000, 2018-02-08 01:57:39, 2018-02-08 02:24:12, 0:05:20
